#{"t_start": 1667873999.9444752, "env_id": "LunarLander-v2"}
r,l,t
-193.284301,97,2.598245
-125.222,127,3.541392
-58.756284,71,4.051868
-16.880606,67,4.528014
-110.320755,76,5.057612
-75.137427,67,5.556568
-86.090955,82,6.149345
-90.201405,73,6.668616
-328.982792,122,7.552129
-122.784812,116,8.278007
-67.843602,136,9.186113
-113.334605,71,9.658
-236.382095,111,10.379954
-284.065011,107,11.143905
-126.447839,80,11.684946
-360.358141,91,12.353801
-225.522131,91,13.060314
-197.796824,129,14.0791
17.366705,87,14.76268
-112.506131,93,15.493438
-118.134451,112,16.33007
-192.663959,115,20.58247
-73.902604,83,21.212554
-133.566241,79,21.786996
-475.17492,99,22.54554
-349.371374,122,23.431392
-53.8104,170,24.650236
-116.552019,75,25.188285
-96.363491,76,25.720951
-113.267382,94,26.381662
-286.756555,162,27.518239
-81.66392,72,28.038342
-83.203906,66,28.511643
-320.994098,137,29.494564
-126.887894,107,30.162112
-389.832156,144,31.212599
-99.104196,85,31.76926
-191.465109,131,32.698478
-219.240652,92,33.359862
-78.861154,69,33.837501
-122.633866,106,34.568625
-97.317865,102,38.348157
-200.221408,83,38.94586
-79.708122,69,39.479082
-178.858334,171,40.80132
-222.294214,117,41.711245
-96.48992,73,42.27828
-45.988635,68,42.803794
-155.852632,76,43.377343
-328.368388,87,44.0415
-215.979586,90,44.753457
-51.078375,84,45.449502
-192.218897,126,46.476171
-369.286992,138,47.664695
-134.775148,125,48.708884
-147.186703,86,49.43097
-107.638261,89,50.188359
-90.977859,77,50.801214
-184.044929,104,51.671705
-99.897215,74,52.265505
-6.782668,87,53.008784
-75.635197,67,53.574898
-120.64549,87,58.195082
-148.301547,141,59.430026
-129.907048,63,59.97999
-45.643438,73,60.629607
-56.051479,63,61.193344
-261.976127,102,62.114118
-101.375033,85,62.875482
-87.171362,59,63.402549
-227.979176,151,64.762237
-114.859523,70,65.386212
-126.101478,65,65.960151
-92.165362,62,66.506974
-132.825134,82,67.206051
-185.308815,107,68.15177
-80.418883,128,69.316489
-128.617642,58,69.829427
-204.903716,102,70.735947
-86.910838,56,71.231902
-108.2586,105,72.153164
-244.775264,124,73.242975
-106.767198,68,73.898379
-115.041007,77,74.614676
-90.780275,75,75.275066
-91.674097,66,75.869872
-98.718036,81,80.761803
-210.280371,110,81.826061
-153.496431,132,83.109275
-63.588917,69,83.762661
-84.016309,151,85.24251
-450.35809,109,86.275888
-129.664241,73,86.973585
-56.656872,73,87.658043
-130.972154,90,88.497058
-291.116621,114,89.590239
-121.081591,102,90.555956
-110.34275,75,91.262116
-262.191037,92,92.095538
-55.434537,143,93.440819
-349.593372,152,94.904806
-323.994181,146,96.305214
-187.127616,87,97.112664
-270.396281,102,97.988995
-137.894718,84,98.737695
-124.420159,63,99.283803
-98.39774,74,103.421881
-96.525092,137,104.503278
-94.963644,78,105.123412
-52.242893,101,105.983012
-181.884177,118,106.982116
-92.30596,66,107.534115
-150.653068,107,108.419186
-54.312652,94,109.211519
-82.943467,80,109.873779
-202.001299,134,110.971203
-119.036073,97,111.793319
-105.987241,87,112.506893
-207.071369,140,113.665831
-99.493981,92,114.395114
-168.972299,155,115.676185
-88.279171,153,116.948677
-129.412444,103,117.779389
-77.912603,104,118.629552
-157.534812,128,119.693354
-97.944507,116,124.238543
-124.521435,149,125.387049
-134.408062,123,126.336942
-149.673432,92,127.050657
-230.48761,138,128.12679
-127.731491,110,129.016451
-187.170654,141,130.113152
-100.403616,91,130.813807
-6.537176,134,131.88124
-182.797881,115,132.801538
-120.489063,90,133.51727
-155.700411,100,134.258212
-106.858393,77,134.804093
-251.61398,129,135.718192
-76.795048,90,136.369075
-100.003452,91,136.971345
-94.296245,84,137.588104
-87.139355,82,138.160479
-166.033066,90,138.710442
-156.118141,140,142.295211
-115.4599,120,143.070822
-273.91407,101,143.726577
-38.48324,100,144.381766
-108.119403,107,145.091186
-44.743362,72,145.536018
-101.847696,121,146.322745
-310.846062,138,147.166809
-58.397424,143,148.139693
-84.114084,99,148.80234
-145.029191,131,149.657102
-110.199844,147,150.577996
-60.549703,75,151.0757
-81.286467,101,151.723943
-31.891674,125,152.563487
-103.942906,153,153.388972
-55.701974,104,153.986593
-97.067958,124,157.524464
-70.174833,174,158.804377
-40.523035,121,159.681326
-60.286767,80,160.269532
-29.178858,139,161.279526
-158.082433,119,162.126972
-36.167188,84,162.742825
-18.160932,115,163.575181
-141.795087,99,164.297203
-113.58991,131,165.239966
-224.486241,121,166.128292
-67.659424,75,166.679884
-11.48023,92,167.381179
-13.385121,129,168.376174
-311.746389,141,169.447601
-296.233173,98,170.199651
-2.514769,144,171.297685
-51.750945,92,171.995016
-114.635411,140,176.363261
-143.610547,270,178.466642
-279.971475,213,180.088487
-198.739746,205,181.738296
-39.178158,97,182.552505
-58.788709,80,183.231981
-89.428368,139,184.431581
-42.770893,133,185.503614
-127.76177,70,186.09197
-95.796299,83,186.773466
-122.625182,147,188.020952
-100.527808,213,189.773865
-100.53166,127,190.855347
